Name mit Ort,Name ohne Ort,Ort,GKZ,Globale ID,MVTT X,MVTT Y,WGS84 X,WGS84 Y
134,Wehrlestrasse,Wehrlestrasse,Muenchen,9162000,de:09162:134,4470944,825459,48...14822421,11...60807415
135,Chinesischer Turm,Chinesischer Turm,Muenchen,9162000,de:09162:135,4469857,824945,48...15279601,11...59343009
136,Thiemestrasse,Thiemestrasse,Muenchen,9162000,de:09162:136,4469511,824515,48.15664653,11..58874912
137,Am Tucherpark,Am Tucherpark,Muenchen,9162000,de:09162:137,4470281,824950,48..15277103,11..59912885
138,Schwester-Eubulina-Platz,Schwester-Eubulina-Platz,Muenchen,9162000,de:09162:138,4469819,828207,48..12345861,11..59315087
139,Auerfeldstrasse,Auerfeldstrasse,Muenchen,9162000,de:09162:139,4470049,828187,48..12364935,11..59623882
140,Hohenzollernplatz,Hohenzollernplatz,Muenchen,9162000,de:09162:140,4467969,824004,48..16116608,11..56798515
141,Stephansplatz,Stephansplatz,Muenchen,9162000,de:09162:141,4467786,827382,48..13077817,11..56578126
142,Maistrasse,Maistrasse,Muenchen,9162000,de:09162:142,4467511,827538,48..12936125,11..56209886
143,Waltherstrasse,Waltherstrasse,Muenchen,9162000,de:09162:143,4467638,827742,48..12753313,11..56382042
144,Zenettistrasse,Zenettistrasse,Muenchen,9162000,de:09162:144,4467280,828303,48..12246967,11..55905453
145,Muenchen.. ZOB,ZOB,Muenchen,9162000,de:09162:145,4466608,826084,48..1423904,11..54985431
146,Ehrengutstrasse,Ehrengutstrasse,Muenchen,9162000,de:09162:146,4467152,828423,48..1213839,11.55734454
149,Reichersbeuern Gh. Altwirt,Reichersbeuern Gh. Altwirt,Reichersbeuern,9173140,de:09173:149,4472577,867873,47.76684837,11.63272802
150,Fraunhoferstrasse,Fraunhoferstrasse,Muenchen,9162000,de:09162:150,4468559,827708,48.12788512,11.57618972
151,Corneliusbruecke,Corneliusbruecke,Muenchen,9162000,de:09162:151,4468788,827552,48.12929933,11.57925447
152,Aurbacherstrasse,Aurbacherstrasse,Muenchen,9162000,de:09162:152,4469605,828324,48.12239622,11.59028478
153,Dom-Pedro-Strasse,Dom-Pedro-Strasse,Muenchen,9162000,de:09162:153,4465698,824156,48.15968052,11.53747121
156,Elisenstrasse,Elisenstrasse,Muenchen,9162000,de:09162:156,4467485,826083,48.14244488,11.56163837
157,Nymphenburg Sued,Nymphenburg Sued,Muenchen,9162000,de:09162:157,4463077,825622,48.14634982,11.50236891
158,Hubertusbrunnen,Hubertusbrunnen,Muenchen,9162000,de:09162:158,4465153,824206,48.1592012,11.53014978
159,Kolumbusplatz (Nord),Kolumbusplatz (Nord),Muenchen,9162000,de:09162:159,4468583,828513,48.12064683,11.57657154
160,Kolumbusplatz,Kolumbusplatz,Muenchen,9162000,de:09162:160,4468577,828688,48.11907274,11.57650387
161,St.-Cajetan-Strasse,St.-Cajetan-Strasse,Muenchen,9162000,de:09162:161,4470251,828441,48.12137458,11.59896985
162,Kolumbusplatz/Humboldtstrasse,Kolumbusplatz/Humboldtstrasse,Muenchen,9162000,de:09162:162,4468526,828671,48.1192231,11.57581764
163,Volkartstrasse Ost,Volkartstrasse Ost,Muenchen,9162000,de:09162:163,4465695,824533,48.15628999,11.53746132
164,Hanebergstrasse,Hanebergstrasse,Muenchen,9162000,de:09162:164,4465696,823828,48.16263013,11.53741785
166,Marienplatz (Rindermarkt),Marienplatz (Rindermarkt),Muenchen,9162000,de:09162:166,4468380,826854,48.13555637,11.57372173
166,Marienplatz Sued,Marienplatz Sued,Muenchen,9162000,de:09162:166,4468380,826854,48.13555637,11.57372173
170,Stiglmaierplatz,Stiglmaierplatz,Muenchen,9162000,de:09162:170,4467274,825561,48.14712844,11.55876301
180,Maillingerstrasse,Maillingerstrasse,Muenchen,9162000,de:09162:180,4466223,825207,48.15025697,11.54461146
185,Gaiglstrasse,Gaiglstrasse,Muenchen,9162000,de:09162:185,4466660,824968,48.1524294,11.55046551
190,Rotkreuzplatz,Rotkreuzplatz,Muenchen,9162000,de:09162:190,4465398,824899,48.15298243,11.53349931
197,Oskar-von-Miller-Ring,Oskar-von-Miller-Ring,Muenchen,9162000,de:09162:197,4468522,825765,48.14535691,11.57554891
200,Westfriedhof,Westfriedhof,Muenchen,9162000,de:09162:200,4465033,823081,48.16931175,11.52844424
201,Dantebad,Dantebad,Muenchen,9162000,de:09162:201,4464959,823389,48.16653782,11.5274748
202,Klugstrasse,Klugstrasse,Muenchen,9162000,de:09162:202,4465068,823645,48.16424161,11.52896116
203,St.-Galler-Strasse,St.-Galler-Strasse,Muenchen,9162000,de:09162:203,4465172,824149,48.15971485,11.5304005
204,Neuhausen,Neuhausen,Muenchen,9162000,de:09162:204,4465246,824522,48.1563645,11.53142566
205,Volkartstrasse,Volkartstrasse,Muenchen,9162000,de:09162:205,4465335,824661,48.15511933,11.5326332
206,Sadelerstrasse,Sadelerstrasse,Muenchen,9162000,de:09162:206,4464582,823157,48.16860328,11.5223874
207,Winthirplatz,Winthirplatz,Muenchen,9162000,de:09162:207,4464982,825016,48.15190744,11.52791808
209,Dankwartstrasse,Dankwartstrasse,Muenchen,9162000,de:09162:209,4464665,825074,48.15136829,11.52366264
210,Amalienburgstrasse,Amalienburgstrasse,Muenchen,9162000,de:09162:210,4462407,823472,48.16564544,11.49317544
211,Botanischer Garten,Botanischer Garten,Muenchen,9162000,de:09162:211,4463109,823608,48.16446357,11.50262412
212,Maria-Ward-Strasse,Maria-Ward-Strasse,Muenchen,9162000,de:09162:212,4463431,823691,48.16373577,11.50695976
213,Dall'Armistrasse,Dall'Armistrasse,Muenchen,9162000,de:09162:213,4463751,823949,48.16143393,11.51128332
214,Schloss Nymphenburg,Schloss Nymphenburg,Muenchen,9162000,de:09162:214,4463762,824270,48.1585478,11.51145856
215,Romanplatz,Romanplatz,Muenchen,9162000,de:09162:215,4463768,824593,48..15564341,11..51156674
216,Steubenplatz,Steubenplatz,Muenchen,9162000,de:09162:216,4464411,825211,48..15012207,11..52026057
217,Briefzentrum,Briefzentrum,Muenchen,9162000,de:09162:217,4464721,825334,48..14903322,11..52443681
218,Burghausener Strasse,Burghausener Strasse,Muenchen,9162000,de:09162:218,4465102,825532,48..14727364,11..52957315
219,Kriemhildenstrasse,Kriemhildenstrasse,Muenchen,9162000,de:09162:219,4464053,824983,48..15215232,11..5154302
220,Renatastrasse,Renatastrasse,Muenchen,9162000,de:09162:220,4464885,824489,48..15664141,11..52657093
221,Hubertusstrasse,Hubertusstrasse,Muenchen,9162000,de:09162:221,4464387,824562,48..1559572,11..51988366
222,Marsstrasse,Marsstrasse,Muenchen,9162000,de:09162:222,4466017,825786,48..145039,11..54188932
223,Deroystrasse,Deroystrasse,Muenchen,9162000,de:09162:223,4466277,825876,48..14424348,11..54539022
224,Mettenstrasse,Mettenstrasse,Muenchen,9162000,de:09162:224,4463997,823196,48..16821965,11..51452618
225,Herthastrasse,Herthastrasse,Muenchen,9162000,de:09162:225,4463152,825295,48..14929489,11..50334841
226,Kemnatenstrasse,Kemnatenstrasse,Muenchen,9162000,de:09162:226,4463214,825072,48..15130392,11..50416231
227,Hirschgartenallee,Hirschgartenallee,Muenchen,9162000,de:09162:227,4463508,824898,48..15288566,11..50809847
228,Nederlinger Strasse,Nederlinger Strasse,Muenchen,9162000,de:09162:228,4463717,822998,48..16998432,11..51074508
229,Netzerstrasse,Netzerstrasse,Muenchen,9162000,de:09162:229,4463441,822318,48..17608371,11..50697599
230,Skagerrakstrasse,Skagerrakstrasse,Muenchen,9162000,de:09162:230,4463255,822688,48..17274557,11..50450714
231,Baubergerstrasse,Baubergerstrasse,Muenchen,9162000,de:09162:231,4463370,822206,48..17708683,11..50601169
232,Hopfenstrasse,Hopfenstrasse,Muenchen,9162000,de:09162:232,4466947,826089,48..14236316,11..5544098
233,Amphionpark,Amphionpark,Muenchen,9162000,de:09162:233,4464041,822615,48..17344707,11..5150685
234,Schragenhofstrasse,Schragenhofstrasse,Muenchen,9162000,de:09162:234,4463086,822713,48..17251094,11..50223716
235,Lustheimstrasse,Lustheimstrasse,Muenchen,9162000,de:09162:235,4461872,823676,48..16377898,11..48600184
236,In den Kirschen,In den Kirschen,Muenchen,9162000,de:09162:236,4463625,823303,48..1672362,11..50953435
237,Bunzlauer Platz,Bunzlauer Platz,Muenchen,9162000,de:09162:237,4463453,821974,48..17917798,11..50710772
238,Winfriedstrasse,Winfriedstrasse,Muenchen,9162000,de:09162:238,4463145,825503,48..14742394,11..50327237
239,Nederlinger Strasse (West),Nederlinger Strasse (West),Muenchen,9162000,de:09162:239,4463578,822916,48..17071378,11..50886933
240,Theresienwiese,Theresienwiese,Muenchen,9162000,de:09162:240,4466778,826834,48..1356545,11..55219716
250,Schwanthalerhoehe,Schwanthalerhoehe,Muenchen,9162000,de:09162:250,4465850,827072,48..13346497,11..5397485
251,Theresienhoehe,Theresienhoehe,Muenchen,9162000,de:09162:251,4466313,827176,48..13255439,11..54597692
260,Westendstrasse,Westendstrasse,Muenchen,9162000,de:09162:260,4464581,826963,48..13437577,11..52269107
270,Friedenheimer Strasse,Friedenheimer Strasse,Muenchen,9162000,de:09162:270,4463738,826874,48..13512862,11..51135804
280,Laimer Platz,Laimer Platz,Muenchen,9162000,de:09162:280,4463113,826832,48..13547036,11..5029576
285,Stadtwerke Muenchen,Stadtwerke Muenchen,Muenchen,9162000,de:09162:285,4465191,822867,48..17124493,11..53055082
290,Olympiasee,Olympiasee,Muenchen,9162000,de:09162:290,4466337,822851,48..17145063,11..54595681
291,Sapporobogen,Sapporobogen,Muenchen,9162000,de:09162:291,4465711,823071,48..16943866,11..53755837
292,Angererstrasse,Angererstrasse,Muenchen,9162000,de:09162:292,4468161,823306,48..1674529,11..57051365
293,Georg-Birk-Strasse,Georg-Birk-Strasse,Muenchen,9162000,de:09162:293,4467152,823689,48..16395715,11..55697886
294,Ackermannbogen,Ackermannbogen,Muenchen,9162000,de:09162:294,4467095,823568,48..16504236,11..55620327
295,Olympiapark Sued,Olympiapark Sued,Muenchen,9162000,de:09162:295,4466774,823872,48..16229176,11..55191191
296,Deidesheimer Strasse,Deidesheimer Strasse,Muenchen,9162000,de:09162:296,4467336,823173,48..16860706,11..5594126
297,Muenchen,Therese-Studer-Strasse,Muenchen,9162000,de:09162:297,,,,
299,Margarete-Steiff-Strasse,Margarete-Steiff-Strasse,Muenchen,9162000,de:09162:299,4462925,821855,48..18021752,11..49999765
300,Moosach,Moosach,Muenchen,9162000,de:09162:300,4463473,821836,48..18042016,11..50736478
